지점명,매장주소,구,lat,lng
계양,인천광역시 계양구 주부토로 463 (작전동),인천광역시,37.5355668,126.7277899
임학,인천광역시 계양구 장제로 889,인천광역시,37.5463045,126.7393845
간석,인천광역시 남동구 주안로 259번길 6(간석동),인천광역시,37.4634079,126.6989961
구월,인천광역시 남동구 문화로 111 (구월동),인천광역시,37.4490206,126.6993087
서창,인천광역시 남동구 장아산로 130 (서창동),인천광역시,37.4393432,126.7491640
인천논현,"인천광역시 남동구 소래역로 28, 조은프라자 112호 (논현동)",인천광역시,37.3998190,126.7360244
인천만수,"인천광역시 남동구 구월로 318, 1층 (만수동, 대성빌딩)",인천광역시,37.4552699,126.7258453
용현,인천광역시 미추홀구 인하로133번길 4 현진원룸주택 1층,인천광역시,37.4497082,126.6630053
주안,인천광역시 미추홀구 미추홀대로 628  도미노피자 주안점,인천광역시,37.4533260,126.6801088
부평산곡,인천광역시 부평구 마장로 168 (산곡동),인천광역시,37.4933297,126.7042723
부평,"인천광역시 부평구 부평대로 114 (부평동, 부평타워큐아파트)",인천광역시,37.5017939,126.7222077
삼산,"인천광역시 부평구 주부토로 295, 1층 (갈산동)",인천광역시,37.5209197,126.7288180
검단,"인천광역시 서구 완정로92번길 41, 101, 102호 (마전동, 인천검단힐스테이트2차)",인천광역시,37.6006563,126.6634152
인천석남,인천광역시 서구 길주로 60 (석남동),인천광역시,37.5062808,126.6685506
인천연희,"인천광역시 서구 탁옥로 90 (심곡동, 덕산빌딩)",인천광역시,37.5435463,126.6795185
청라,인천광역시 서구 청라라임로138번길 4-4 (연희동),인천광역시,37.5394391,126.6534332
송도2호,인천광역시 연수구 송도미래로 47  105호(송도동),인천광역시,37.3678086,126.6501779
신연수,"인천광역시 연수구 함박로91번길 4, 1층 (연수동)",인천광역시,37.4242566,126.6862700
연수,인천광역시 연수구 용담로 93,인천광역시,37.4163419,126.6759482
옥련,"인천광역시 연수구 청량로184번길 52 (옥련동, 삼선프라자)",인천광역시,37.4253366,126.6547042
동인천역,인천광역시 중구 참외전로 188 도미노피자,인천광역시,37.4714264,126.6364436
인천운서,인천광역시 중구 모랫말로5번길 1(운서동),인천광역시,37.4892446,126.4963449
인천하늘도시,인천광역시 중구 영종진로66번길 15  1층 101호(중산동),인천광역시,37.4992794,126.5761683
고양,"경기도 고양시 덕양구 혜음로 68 (고양동, 중부대학교 근처)",경기도,37.7065976,126.9029702
대화,"경기도 고양시 일산서구 송포로 26, 117호 (대화동, 현대플라자)",경기도,37.6691308,126.7332341
마두백석,경기도 고양시 일산동구 중앙로 1080 남정골드프라자 1층,경기도,37.6456523,126.7852493
원당,경기도 고양시 덕양구 고양대로 1375 (성사동),경기도,37.6546843,126.8370041
장항,"경기도 고양시 일산동구 호수로 606, B동 106~107호 (장항동, 코오롱레이크폴리스I)",경기도,37.6561497,126.7694806
중산탄현,경기도 고양시 일산서구 일중로 46 (일산동),경기도,37.6836134,126.7753756
풍동식사,경기도 고양시 일산동구 고양대로 1025  SK 풍동충전소 건너편,경기도,37.6728239,126.8070359
행신,"경기도 고양시 덕양구 충경로 29, 1층 (행신동)",경기도,37.6156747,126.8329381
화정,경기도 고양시 덕양구 은빛로 53 (화정동),경기도,37.6380414,126.8336423
후곡,"경기도 고양시 일산서구 일산로 511, 1층 (일산동, 태성프라자)",경기도,37.6761414,126.7706753
과천,"경기도 과천시 새술막길 14, 1층 (중앙동, 과천농협)",경기도,37.4289790,126.9905582
광명일직,경기도 광명시 일직로 28 광명트리플타워 122호,경기도,37.4220738,126.8847318
광명,"경기도 광명시 하안로 361, 한마음문화센터 (하안동)",경기도,37.4667588,126.8757329
철산,경기도 광명시 시청로 32 (철산동),경기도,37.4795639,126.8641232
경기광주,"경기도 광주시 역동로 47 (역동, 대복빌딩)",경기도,37.4040326,127.2565161
곤지암,"경기도 광주시 곤지암읍 경충대로 772 (삼리, 다모아빌딩)",경기도,37.3564021,127.3248818
오포,"경기도 광주시 오포읍 오포로 116, 106~107호 (능평리, 한산빌딩)",경기도,37.3437175,127.1790386
태전,"경기도 광주시 고불로 84  2동 1층 4,5호(태전동)",경기도,37.3928940,127.2288726
갈매,"경기도 구리시 갈매순환로 206  1층 109호, 110호",경기도,37.6375570,127.1212713
구리인창,경기도 구리시 동구릉로 79 (인창동),경기도,37.6071768,127.1340702
구리,"경기도 구리시 벌말로 185, 상가 110~111호 (수택동, 구리태영데시앙아파트)",경기도,37.5938694,127.1498577
군포송정,경기도 군포시 송부로33번길 3-23  1층,경기도,37.3154003,126.9162650
군포,경기도 군포시 금당로 23 (당동),경기도,37.3501266,126.9405056
산본,경기도 군포시 산본로431번안길 3-7 (산본동),경기도,37.3672915,126.9262670
고촌,경기도 김포시 고촌읍 은행영사정로 41 (신곡리),경기도,37.6027991,126.7747866
김포구래,경기도 김포시 김포한강9로12번길 97-10,경기도,37.6408835,126.6273092
김포사우,"경기도 김포시 돌문로 95, 1층 104호 (사우동)",경기도,37.6216053,126.7132098
김포장기,경기도 김포시 김포한강1로78번길 62-15 (장기동),경기도,37.6425971,126.6724027
김포통진,경기도 김포시 통진읍 조강로 24 (서암리),경기도,37.6887343,126.6024303
남양주,경기도 남양주시 진접읍 진건오남로 998 (연평리),경기도,37.7093000,127.1859309
다산지금,경기도 남양주시 다산지금로146번길 18-18  1층(다산동),경기도,37.6010524,127.1721909
다산진건,"경기도 남양주시 다산순환로 118-83  106호,107호(다산동)",경기도,37.6205285,127.1479272
덕소,"경기도 남양주시 와부읍 수레로 49, 104~105호 (덕소리, 마이다스빌딩)",경기도,37.5884428,127.2167856
마석,경기도 남양주시 화도읍 경춘로1876번길  3,경기도,37.6523850,127.2970131
별내,경기도 남양주시 송산로 153 오토스퀘어 빌딩,경기,37.6562490,127.1293870
호평평내,경기도 남양주시 경춘로 1324,경기도,37.6510883,127.2391962
동두천,경기도 동두천시 삼육사로 945 (생연동),경기도,37.8990337,127.0546852
고강원종,경기도 부천시 역곡로 448 (고강동),경기도,37.5244972,126.8159106
부천심곡,경기도 부천시 부일로 429 다온하브 1층,경기도,37.4869432,126.7779484
부천약대,경기도 부천시 도약로 213  1층,경기도,37.5106170,126.7733316
부천옥길,경기도 부천시 양지로 125 예품빌딩 1층,경기도,37.4717638,126.8169011
부천,경기도 부천시 부흥로 181 세민메가트랜스 1층 도미노피자 부천점,경기도,37.4966183,126.7627264
상동,경기도 부천시 상이로39번길 7-7  1층,경기도,37.4920181,126.7438071
소사역곡,경기도 부천시 부일로 556  1층,경기도,37.4844159,126.7919350
중동,경기도 부천시 길주로 352  1층,경기도,37.5023219,126.7816148
미금오리,"경기도 성남시 분당구 성남대로 52 (103호, 104호)",경기,37.3404501,127.1094051
서현,경기도 성남시 분당구 서현로 377  거송빌딩 1층,경기도,37.3766178,127.1397766
성남상대원,경기도 성남시 중원구 금상로 27,경기도,37.4385073,127.1601405
성남수진,경기도 성남시 중원구 산성대로 200 (성남동),경기도,37.4369423,127.1407449
성남태평,"경기도 성남시 수정구 성남대로 1276, 1층 (태평동)",경기도,37.4436468,127.1274023
수내정자,"경기도 성남시 분당구 내정로113번길 4, 정자프라자 107호 (정자동)",경기도,37.3706728,127.1148401
야탑,경기도 성남시 분당구 매화로 43,경기도,37.4114859,127.1336136
이매,"경기도 성남시 분당구 성남대로779번길 22 (이매동, 이매상가)",경기도,37.3994490,127.1259487
판교,"경기도 성남시 분당구 서판교로 160, 106~108호 (판교동, 스타식스밸리)",경기도,37.4002582,127.0948118
광교,경기도 수원시 영통구 센트럴타운로 92 (이의동),경기도,37.2917836,127.0511494
권선,"경기도 수원시 권선구 권선로 746 (권선동, 효명빌딩)",경기도,37.2573876,127.0325440
남수원,"경기도 수원시 권선구 경수대로 349, 1층 (권선동)",경기도,37.2579381,127.0223600
동수원,경기도 수원시 팔달구 세지로 394(우만동),경기도,37.2848410,127.0283863
북수원,"경기도 수원시 장안구 송원로 8 (송죽동, 웰가아파트)",경기도,37.2963864,127.0051680
서수원,경기도 수원시 권선구 호매실로218번길 122  1층,경기도,37.2661772,126.9616204
성균관대 자과캠(수원,"경기도 수원시 장안구 서부로 2066, 신관기숙사B동",경기도,37.2933638,126.9746545
수원중앙,"경기도 수원시 팔달구 매산로 46, 1층 (매산로2가)",경기도,37.2683675,127.0063560
신영통,경기도 수원시 영통구 영통로112번길 30 (망포동),경기도,37.2392444,127.0566372
영통,경기도 수원시 영통구 청명로 65 (영통동),경기도,37.2531409,127.0797432
율천,"경기도 수원시 장안구 하률로 3, 1층 (천천동)",경기도,37.3032092,126.9736440
배곧신도시,"경기도 시흥시 배곧4로 32-28 (정왕동) 그랜드프라자 101,102호",경기도,37.3781463,126.7259781
시화,경기도 시흥시 봉우재로 32 (정왕동),경기도,37.3457018,126.7445959
시흥목감,경기도 시흥시 남왕길 48-12(목감동),경기도,37.3825990,126.8634495
시흥연성,경기도 시흥시 승지로69번길 7 (능곡동),경기도,37.3702589,126.8097046
시흥은행,경기도 시흥시 은행로 180 (대야동),경기도,37.4466626,126.7976973
고잔,"경기도 안산시 단원구 광덕대로 137, 상가 101~102호 (고잔동, 밀레니엄1)",경기도,37.3088038,126.8289070
상록수,경기도 안산시 상록구 석호로 225 (사동),경기도,37.2939933,126.8555735
선부,경기도 안산시 단원구 지곡로 29 (선부동),경기도,37.3373717,126.8039059
안산성포,경기도 안산시 상록구 예술광장1로 94 (성포동),경기도,37.3264630,126.8470447
공도,경기도 안성시 공도읍 공도4로 21 (만정리),경기도,37.0017763,127.1710695
안성금산,경기도 안성시 대학로 84-1 (금산동),경기도,37.0157025,127.2671715
범계,"경기도 안양시 동안구 평촌대로243번길 30, 1층 (비산동, 샤크존)",경기도,37.3928424,126.9530417
안양석수,"경기도 안양시 만안구 경수대로 1213 (석수동, 문화빌딩)",경기도,37.4167137,126.9132566
안양중앙,"경기도 안양시 만안구 만안로 284, 마인빌오피스텔 103호 (안양동, 마인빌)",경기도,37.4051483,126.9193353
인덕원,경기도 안양시 동안구 관악대로 407 (관양동),경기도,37.4050530,126.9680394
평촌,"경기도 안양시 동안구 귀인로 198, 베스트타운 101호 (평촌동)",경기도,37.3854615,126.9611624
양주고읍,경기도 양주시 고읍로 151  현대빌딩 1층,경기도,37.7926665,127.0866980
양주,경기도 양주시 독바위로 36-1 (덕정동),경기도,37.8379228,127.0624664
양평,경기도 양평군 양평읍 중앙로 63,경기도,37.4954448,127.4962972
여주,경기도 여주시 세종로 32  (홍문동),경기도,37.2949745,127.6360294
여주,경기도 여주시 세종로 32  (홍문동),경기도,37.2949745,127.6360294
오산세교,경기도 오산시 수청로 18,경기도,37.1716515,127.0589533
오산원동,"경기도 오산시 원동로 6, 102호 (원동, 파크스퀘어)",경기도,37.1420360,127.0696393
구성,"경기도 용인시 기흥구 용구대로 2440, 1층 (마북동)",경기도,37.3035734,127.1061909
동백,경기도 용인시 기흥구 동백중앙로 191 씨티프라자 1층 101호~102호,경기도,37.2708930,127.1529686
수지상현,"경기도 용인시 수지구 성복2로 17, 1층 (성복동, 수지골드프라자)",경기도,37.3107116,127.0810234
수지신봉,"경기도 용인시 수지구 신봉1로 84 (신봉동, 상록신봉종합상가)",경기도,37.3236675,127.0764975
수지,"경기도 용인시 수지구 문인로13번길 21-2 (풍덕천동, 도미노피자)",경기도,37.3310428,127.1014879
신갈,"경기도 용인시 기흥구 금화로 3, 주공프라자 110호 (상갈동)",경기도,37.2617229,127.1046420
용인남사,경기도 용인시 처인구 남사면 한숲로57번길 15-1  1층,경기도,37.1532576,127.1696046
용인,"경기도 용인시 처인구 금령로12번길 6-1 1층(김량장동, 도미노피자)",경기도,37.2340976,127.1977446
용인포곡,"경기도 용인시 처인구 포곡읍 포곡로 80 (둔전리, 청석빌딩)",경기도,37.2677660,127.2149084
죽전,"경기도 용인시 수지구 현암로 111, 1층 104호 (죽전동)",경기도,37.3319585,127.1216653
흥덕,경기도 용인시 기흥구 흥덕1로 97,경기도,37.2748440,127.0733284
의왕오전,경기도 의왕시 효행로 54 (오전동),경기도,37.3520272,126.9723647
의왕포일,경기도 의왕시 성고개로 53 에이스청계타워 212호,경기도,37.3976156,126.9874255
송산,경기도 의정부시 용현로 97,경기도,37.7413859,127.0868668
의정부가능,"경기도 의정부시 평화로 640, 105동 101호 (의정부동, 한진그랑빌)",경기도,37.7491192,127.0453147
의정부민락,"경기도 의정부시 용민로 249  1층 105,106호 (낙양동,골든타워)",경기도,37.7493603,127.0978728
의정부호원,"경기도 의정부시 평화로 271-9, 상가동 110~111호 (호원동, 신도아파트)",경기도,37.7158987,127.0467248
이천부발,경기도 이천시 부발읍 경충대로2050번길 15-88 1층,경기도,37.2521292,127.4922905
이천창전,경기도 이천시 영창로 228 (창전동),경기도,37.2806000,127.4477757
금촌,경기도 파주시 시청로 21 (금촌동),경기도,37.7589305,126.7759552
문산,"경기도 파주시 문산읍 문산역로 75 (문산리, 삼문빌딩)",경기도,37.8529577,126.7867699
파주교하,"경기도 파주시 숲속노을로 265, 105~106호 (문발동, 토우프라자)",경기도,37.7241144,126.7111964
파주운정,"경기도 파주시 경의로 1114(야당동) 에펠타워 103,104호",경기도,37.7166199,126.7603961
안중,경기도 평택시 안중읍 안현로 372,경기도,36.9832973,126.9294294
팽성,"경기도 평택시 부용로 56번길 29, 1층",경기도,36.9632261,127.0634917
평택비전,경기도 평택시 평택2로 118 (비전동),경기도,36.9996962,127.0948697
평택소사벌,경기도 평택시 평남로 1025 (동삭동),경기도,37.0094883,127.0975110
포천송우,경기도 포천시 소흘읍 솔모루로 114 (송우리),경기도,37.8310206,127.1492564
포천시청,경기도 포천시 중앙로 24 (신읍동),경기도,37.8897660,127.1970306
하남미사,경기도 하남시 미사강변서로 30 (매장뒷편 주차장 30분 무료주차 가능),경기도,37.5529869,127.1845010
하남신장,경기도 하남시 하남대로 786-1  1층(신장동),경기도,37.5403746,127.2101548
남동탄,경기도 화성시 동탄순환대로 127-5  1층 108~109호,경기도,37.1660899,127.1072809
동탄,"경기도 화성시 동탄지성로 84, 101~102호 (반송동, PARKPLAZA)",경기도,37.2072195,127.0656991
발안향남,경기도 화성시 향남읍 삼천병마로 275 (진천동),경기도,37.1376723,126.9123384
병,"경기도 화성시 병점중앙로 156 (진안동, 드림빌딩)",경기도,37.2116974,127.0385480
봉담,경기도 화성시 봉담읍 동화역말길 29-13 (동화리),경기도,37.2156047,126.9626728
송산그린시티,"경기도 화성시 수노을2로 36  드림디자인센터 1층 105,106호",경기도,37.2837779,126.8141009
신동탄,경기도 화성시 동탄순환대로 708,경기도,37.2079460,127.1103892
화성남양,"경기도 화성시 남양읍 남양시장로 105, 덕왕빌딩 101호(남양리)",경기도,37.2110194,126.8205140
